Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Павличенко,Тереза,Дмитріївна,Жінка,16.06.1990,Стоматолог,хутір Глобине,"площа Бориса Дерев'янка, буд. 132 кв. 593, Стебник, 40712",550 94 33,onysym05@example.org
Сімашкевич,Марина,Миколаївна,Жінка,19.12.1978,Музикознавець,селище Торецьк,"набережна Ф. Пішеніна, буд. 79, Балта, 19107",758 81 88,mykhailynavakulenko@example.org
Ґоляш,Софія,Лукʼянівна,Жінка,28.07.1996,Детектив,місто Покров,"шосе Суворовська, буд. 75, Болехів, 29903",028 800 38 99,dzhuskhoma@example.org
Малик,Маруся,Геннадіївна,Жінка,29.12.1973,Вчитель,село Шпола,"провулок Дачний, буд. 06 кв. 5, Олександрія, 44543",107-53-30,riabchenkoiaryna@example.net
Василашко,Марина,Сергіївна,Жінка,25.12.1987,Продюсер,хутір Винники,"парк Ростовська, буд. 58, Богуслав, 21774",+380 (06) 689-48-99,artemdankevych@example.org
Семенченко,Марина,Юстимівна,Жінка,20.03.1996,Мінералог,село Богодухів,"провулок Республіканська, буд. 01, Дебальцеве, 53249",+380 47 862 42 56,avhustyn33@example.org
Токар,Ліза,Геннадіївна,Жінка,26.07.1967,Музикант,село Дергачі,"провулок Лютнева, буд. 309 кв. 8, Боярка, 47702",+380 45 394-49-43,antonstus@example.org
Атаманюк,Наталія,Омелянівна,Жінка,07.02.1959,Економіст,село Пирятин,"набережна Соляний 5-й, буд. 3 кв. 73, Барвінкове, 58270",083 548-55-61,anzhela63@example.net
Комар,Анастасія,Тимофіївна,Жінка,09.06.1972,Актор,село Перемишляни,"провулок Героїв Крут, буд. 96, Радомишль, 50824",+380 79 977-02-02,bohdanierchenko@example.org
Чарниш,Соломія,Артемівна,Жінка,05.05.2002,Співак,хутір Старобільськ,"шосе Дачний 1-й, буд. 200, Долина , 09266",+380 21 156-85-71,rhrytsenko@example.org
Дахно,Наталія,Романівна,Жінка,18.01.1943,Громадський діяч,хутір Яремче,"набережна Кренкеля, буд. 949 кв. 0, Бобровиця, 52027",017 216-78-31,avreliibashpolchenko@example.org
Тимчук,Надія,Валентинівна,Жінка,01.02.1950,Фізик,місто Слов'янськ,"площа 4-та Суворовська, буд. 177, Болград, 04722",483 25 84,tymofii87@example.net
Даценко,Лариса,Лукʼянівна,Жінка,21.02.1989,Перекладач,хутір Гайворон,"набережна Ремонтна, буд. 041, Комарно, 64496",+380 54 133-93-61,rishchak@example.org
Авдєєнко,Богданна,Євгенівна,Жінка,20.09.1966,Інженер,місто Шепетівка,"сквер Бабеля, буд. 571, Алушта, 99525",+380 94 399-35-56,olha77@example.org
Базилевська,Надія,Глібівна,Жінка,11.07.1998,Редактор,село Південне ,"шосе Пісочний, буд. 65 кв. 4, Слов'янськ, 45037",+380 24 365-49-66,gokhrymovych@example.net
Дейсун,Оксенія,Гаврилівна,Жінка,09.08.1962,Модель,хутір Ічня,"узвіз Коблевська, буд. 4, Ромни, 39687",+380 28 059-28-15,boryslav58@example.com
Гаврюшенко,Емілія,Трохимівна,Жінка,20.11.1952,Мінералог,хутір Славута,"площа Дюківська, буд. 636 кв. 2, Щастя , 83489",+380 42 922-16-99,daryna92@example.org
Зарудна,Анастасія,Ігорівна,Жінка,23.03.1951,Ді-джей,селище Борзна,"узвіз Михайла Жванецького, буд. 489 кв. 798, Енергодар, 74088",+380 71 500 63 13,khrystynaadamchuk@example.net
Килимник,Вікторія,Мирославівна,Жінка,12.04.1939,Гінеколог,місто Немирів,"вулиця Кострова, буд. 29 кв. 86, Погребище, 92905",958-66-39,pnikoliuk@example.org
Лубенець,Єлисавета,Спасівна,Жінка,03.05.1971,Промисловець,хутір Жашків,"набережна Учительський, буд. 05, Миронівка, 33584",+380 (29) 498-26-39,emiliiasavenko@example.net
Парасюк,Світлана,Марківна,Жінка,13.03.1999,Кінорежисер,село Дергачі,"набережна Чорноморський 11-й, буд. 24 кв. 42, Волноваха, 08564",003 341 97 09,ilienkofedir@example.com
Зубко,Одарка,Климентівна,Жінка,07.05.1961,Вчитель,хутір Запоріжжя,"сквер 3-тя Суворовська, буд. 65, Кам'янець-Подільський, 78834",059 402 53 13,mopanasenko@example.com
Кириленко,Варвара,Зорянівна,Жінка,30.09.1968,Дипломат,село Федорівка,"парк Український 2-й, буд. 364 кв. 67, Угнів, 36453",+380 13 657-11-61,varvara68@example.org
Стець,Мілена,Макарівна,Жінка,24.08.1965,Шериф,селище Жмеринка,"провулок Успенський, буд. 76, Жовті Води, 84172",+380 71 764-01-15,piarosh@example.com
Шиян,Валентина,Болеславівна,Жінка,05.09.1940,Фармацевт,хутір Щолкіне,"сквер Солонцюватий, буд. 70, Олешки, 66751",548-91-52,mariana61@example.com
Сиротенко,Ірена,Валентинівна,Жінка,19.12.1939,Прокурор,місто Старобільськ,"провулок Шевченка, буд. 085 кв. 029, Валки , 68214",803 00 12,stefan26@example.net
Кальченко,Богданна,Болеславівна,Жінка,22.05.1948,Електрик,місто Білогірськ,"узвіз Ковалевського, буд. 13 кв. 3, Маріуполь, 97138",012 955-35-11,ptsisyk@example.com
Талан,Мілена,Едуардівна,Жінка,04.03.1992,Ді-джей,селище Канів,"проспект Амурський 4-й, буд. 793, Новояворівськ, 59666",+380 (87) 476-94-43,ruslan67@example.com
Деряжна,Анастасія,Глібівна,Жінка,01.04.1995,Музикознавець,місто Первомайський ,"сквер Аеропортівська, буд. 499, Житомир, 10885",+380 48 972 24 56,hdeisun@example.org
Яремко,Данна,Костянтинівна,Жінка,15.05.1957,Сценарист,місто Бунге ,"шосе Куниці, буд. 942 кв. 6, Черкаси, 20099",331 92 55,barabashartem@example.org
Гайденко,Ганна,Аврелійовна,Жінка,07.02.1956,Випробувач,село Люботин,"набережна Польовий 1-й, буд. 373, Середина-Буда, 71200",+380 49 099-26-06,parmen46@example.com
Цимбалюк,Дарина,Дмитріївна,Жінка,20.10.1965,Будник,село Умань,"вулиця Амурський 1-й, буд. 93, Бердянськ, 01447",+380 95 788-17-05,frantsvakhnii@example.org
Засенко,Світлана,Опанасівна,Жінка,25.09.1947,Ґрунтознавець,місто Роздільна,"проспект Собінова, буд. 8, Пологи , 61845",+380 (68) 334-48-38,isaienkosolomiia@example.com
Фурс,Амалія,Максимівна,Жінка,09.10.1974,Піаніст,місто Умань,"узвіз Сашка Хорошенка, буд. 24, Ізюм, 45812",+380 85 058 52 24,okseniiachaika@example.net
Лазаренко,Валентина,Антонівна,Жінка,12.11.1970,Гінеколог,селище Лозова ,"провулок Восьмого березня, буд. 53 кв. 24, Судова Вишня, 05546",+380 (36) 948-87-32,vitaliimazur@example.net
Верховинець,Еріка,Климентівна,Жінка,13.01.1941,Водій,місто Надвірна,"вулиця Солонцюватий 1-й, буд. 604, Володимир-Волинський, 66430",+380 70 026-67-31,iustyna23@example.com
Бандера,Ганна,Микитівна,Жінка,17.12.1947,Мірошник,село Тисмениця,"площа Херсонський сквер, буд. 28 кв. 013, Благовіщенське, 91453",081 371-40-22,saienkobohuslav@example.com
Фесенко,Ада,Степанівна,Жінка,27.11.1991,Математик,місто Луганськ,"сквер Кострова, буд. 0 кв. 0, Пологи , 01312",+380 35 278 33 67,tereza65@example.com
Тягнибок,Ірена,Пантелеймонівна,Жінка,09.07.1957,Прокурор,місто Подільськ,"шосе Пейзажна, буд. 030, Підгородне, 73707",235-84-69,larysadashenko@example.com
Вакарчук,Аліна,Данівна,Жінка,17.01.1996,Пілот,хутір Шаргород,"сквер Розкидайлівська, буд. 139, Тараща, 89409",072 874-35-11,antonvyshyvanyi@example.com
Михайличенко,Тереза,Максимівна,Жінка,23.08.1993,Стиліст,село Городня,"провулок Лугова, буд. 97 кв. 692, Дубно, 14648",+380 94 403-06-88,kharchenkoleontii@example.org
Рудько,Святослава,Дмитріївна,Жінка,19.04.1992,Астронавт,село Селидове,"провулок Сьома, буд. 447 кв. 5, Зеленодольськ, 30007",711-66-39,ustenkoruslan@example.net
